bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
4,5,1,0,0,4,4,4,4,4
4,5,2,0,0,5,5,5,5,5
4,5,3,0,0,5,5,5,5,5
4,5,4,0,0,6,5,6,5,5
4,5,5,0,0,10,5,10,5,5
4,5,6,0,0,9,5,9,5,5
4,5,7,0,0,6,5,6,5,4
4,5,8,0,0,8,5,8,5,4
4,5,9,0,0,10,5,8,5,4
4,5,10,0,0,14,6,11,5,4
4,5,11,0,0,16,6,13,8,4
4,5,12,0,0,24,6,19,8,4
4,5,13,0,0,34,6,25,8,4
4,5,14,0,0,40,11,30,8,4
4,5,15,0,0,45,13,35,5,4
4,5,16,0,0,45,13,34,5,4
4,5,17,0,0,39,9,28,5,4
4,5,18,0,0,26,8,16,5,4
4,5,19,0,0,25,6,16,5,4
4,5,20,0,0,33,9,24,5,4
4,5,21,0,0,28,6,23,5,4
4,5,22,0,0,14,6,11,5,4
4,5,23,0,0,15,9,13,6,6
4,6,0,0,0,10,5,9,5,5
4,6,1,0,0,6,5,5,5,5
4,6,2,0,0,5,5,5,5,5
4,6,3,0,0,5,5,5,5,5
4,6,4,0,0,6,5,5,5,5
4,6,5,0,0,9,5,5,5,5
4,6,6,0,0,10,5,6,5,5
4,6,7,0,0,11,6,9,5,5
4,6,8,0,0,14,9,8,5,5
4,6,9,0,0,14,6,8,5,5
4,6,10,0,0,15,6,10,5,5
4,6,11,0,0,19,6,13,5,5
4,6,12,0,0,23,6,14,5,5
4,6,13,0,0,24,6,14,5,5
4,6,14,0,0,28,6,19,5,5
4,6,15,0,0,30,9,21,5,0
4,6,16,0,0,30,10,19,5,0
4,6,17,0,0,28,9,16,5,0
4,6,18,0,0,25,9,15,5,0
4,6,19,0,0,26,8,20,5,0
